city,state,zipcode,county,employer_name,case_number
PHILADELPHIA ,PENNSYLVANIA ,19104 ,PHILADELPHIA COUNTY ,ASTUTEONE CORP ,I-200-16306-396306 
WOBURN ,MASSACHUSETTS ,01801 ,MIDDLESEX ,ASTUTEONE CORP ,I-200-16270-705005 
DENTON ,TEXAS ,76207 ,DENTON ,TETRA PAK GLOBAL INFORMATION MANAGEMENT AMERICAS INC. ,I-200-16270-714387 
DENTON ,TEXAS ,76207 ,DENTON ,TETRA PAK GLOBAL INFORMATION MANAGEMENT AMERICAS INC. ,I-200-16209-709392 
DENTON ,TEXAS ,76207 ,DENTON ,TETRA PAK GLOBAL INFORMATION MANAGEMENT AMERICAS INC. ,I-200-16127-348397 
DELAND ,FLORIDA ,32720 ,VOLUSIA ,"FLORIDA HOSPITAL HEALTHCARE PARTNERS, INC. ",I-200-16327-746571 
EL SEGUNDO ,COLORADO ,90245 ,LOS ANGELES ,"HEALTHCARE PARTNERS, LLC ",I-200-16288-626911 
EL SEGUNDO ,COLORADO ,90245 ,LOS ANGELES ,"HEALTHCARE PARTNERS, LLC ",I-200-16270-716341 
MONTGOMERY ,PENNSYLVANIA ,18936 ,MONTGOMERY ,"HEALTHCARE PARTNERS PHILADEPHIC, LLC ",I-200-16263-420449 
DAYTONA BEACH ,FLORIDA ,32117 ,VOLUSIA ,"FLORIDA HOSPITAL HEALTHCARE PARTNERS, INC. ",I-200-16279-867002 
DELAND ,FLORIDA ,32720 ,VOLUSIA ,"FLORIDA HOSPITAL HEALTHCARE PARTNERS, INC. ",I-200-16274-168203 
MALVERN ,PENNSYLVANIA ,19355 ,CHESTER ,"HEALTHCARE PARTNERS PHILADEPHIC, LLC ",I-200-16256-985622 
QUAKERTOWN ,PENNSYLVANIA ,18960 ,BUCKS ,"HEALTHCARE PARTNERS PHILADEPHIC, LLC ",I-200-16235-365965 
NORTH WALES ,PENNSYLVANIA ,19454 ,MONTGOMERY ,"HEALTHCARE PARTNERS PHILADEPHIC, LLC ",I-200-16235-587817 
